date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
2026-10-11,554.5165932046998,380.8941006815064,408.9507161295045,444.10149737950445,504.7839741861451,601.1038746988404,642.725887027942,674.3496052896606,693.8634007608518
2026-10-18,604.0165725346342,414.5801433964505,445.2581448002591,483.3118236943021,553.358292810513,655.1978313847318,703.081470911099,719.251276819302,755.3928371830714
2026-10-25,618.1547676246391,420.67116502454155,454.5042918555962,503.2509471290337,560.8239268653618,670.835203110479,716.7832896583307,752.1868327491509,793.1979411475884
2026-11-01,668.7948233817165,468.10493141394306,494.59392677527114,542.0512509940212,613.5700406668727,726.7002744315212,774.7397397635525,798.0748899100367,830.3102292655053
2026-11-08,747.7077670697147,545.091160929578,583.7833392743045,619.4375323895389,694.7288531903201,802.0872516278201,856.4995502118045,872.6442493084842,912.9175296429568
2026-11-15,817.8370079938112,590.9981658307253,642.4076796857057,699.6632308331667,771.9357283917604,876.770826658362,925.4969649640261,947.0130385724245,960.4970717755494
2026-11-22,1001.2546484153163,764.0632198874843,839.4614788596523,894.1792156760584,950.7312664573085,1062.6062969748866,1129.2290264670742,1160.0279278342616,1184.0461437766444
2026-11-29,1190.8086433721194,931.1027513433108,1010.8584169316898,1068.8807252812992,1126.986328308643,1258.9179384160648,1325.3307741094243,1373.6808961797367,1408.0891542363772
2026-12-06,1468.748922078885,1116.3617455652131,1222.6595544031036,1286.788308065213,1392.6718590906037,1554.350173299588,1637.9050072839634,1731.2004357507599,1805.2627038171659
2026-12-13,1752.2811016165583,1337.6311321341366,1492.4165142142147,1554.0119060599177,1633.856272514996,1837.2897441946834,1960.5074871146057,2079.341105278668,2167.9837200247616
2026-12-20,1738.8844860200397,1326.2166533784382,1475.762634213399,1544.1883422212115,1629.5357543305865,1820.2074462251178,1946.0494506196492,2063.7432738618363,2148.4652282075394
2026-12-27,1903.872583410272,1480.1636527462094,1584.7955375118345,1704.5828849239438,1788.6731742305844,2004.58812174035,2143.7588614864444,2254.5477286739438,2338.033208410272
2027-01-03,3751.605361582143,3179.944386240346,3246.4864821876117,3347.3895339454243,3560.6959548438617,3958.374970957143,4120.910407968862,4275.499763437611,4295.246162363393
2027-01-10,5038.96217601141,4356.629961655941,4473.896343491879,4578.743487046566,4784.605205796566,5273.211773179379,5494.094219468442,5688.324224351254,5738.75465648016
2027-01-17,6624.100549921377,5755.9003668159085,5979.6634161323145,6044.947522577627,6347.630530390127,6883.036658319815,7089.077210077628,7335.577380976065,7401.694519647939
2027-01-24,8193.333302675506,7232.774774843476,7423.902887636445,7594.552692323944,7902.951569277069,8491.366364198944,8800.073737245819,8954.914313417694,8978.753082948944
2027-01-31,9514.081467613792,8574.319280113792,8701.119011559105,8894.10587679348,9108.32150179348,9844.442351402855,10231.69943148098,10414.301140465355,10469.548210777855
2027-02-07,10812.688198086664,9734.492236172602,9899.647436367914,10093.390209805415,10373.873803555414,11230.990014492914,11519.187475430415,11678.441186367914,11791.372997891352
2027-02-14,12772.925217149486,11438.726657579175,11673.152170274487,11880.790256211987,12304.309055040112,13304.403781602612,13569.781076524487,13728.357004258862,13813.126828477612
2027-02-21,14497.408528257407,13016.186975523033,13114.511243101157,13476.621692319908,13914.630676694907,15102.205627866782,15404.321985288658,15541.557678648032,15666.015710874593
2027-02-28,16979.57559345268,15188.10444110893,15377.999216499555,15712.334470405805,16432.840915718305,17614.210056343305,17973.161130562057,18160.157907905806,18373.528025093303
2027-03-07,19067.490577895613,16999.184591567486,17161.473507583112,17557.43923023936,18503.15534352061,19773.73590992686,20217.83395680186,20479.257687270612,20598.194259536234
2027-03-14,22702.186749633816,20147.754816040066,20335.598370727566,20954.206085571317,22145.415558227567,23631.414581665067,24155.920929321317,24450.62952307132,24559.17293127444
2027-03-21,24809.6216754157,21971.547153931322,22235.346226196947,22898.640659790697,24186.790855103198,25856.416831665698,26444.942417603197,26749.5348004157,26925.546128540696
2027-03-28,24206.436608051576,21449.992662739074,21701.050475239073,22338.771373676573,23600.441393207824,25228.013658832824,25809.873522114074,26097.206920551573,26284.731188129696
2027-04-04,26324.97236996911,23303.09633481286,23463.96244809411,24303.20678403161,25556.59164731286,27303.93637387536,28158.73783871911,28554.91088559411,28782.52055356286
2027-04-11,26847.92956788107,23757.137312021696,23889.44126709982,24779.95767334982,26029.79849366232,27846.47036866232,28732.344001474823,29175.38775147482,29392.426960459194
2027-04-18,25531.84522727975,22468.660119857876,22591.121887436002,23610.414465561003,24642.312317123502,26354.856750717252,27385.749817123502,27987.190344467253,28125.161389389126
2027-04-25,24306.25396810854,21413.093645842913,21554.68012045229,22465.76049154604,23467.94359701479,25087.33910482729,26059.82806967104,26573.61078451479,26735.19506185854
2027-05-02,22785.985058180733,19951.08347614948,20053.25027302448,20991.227421461983,21909.774491774482,23555.204667555732,24508.120976149483,25127.738358961982,25410.27537068073
2027-05-09,21506.77639458455,18916.765750053302,19013.835867240803,19884.9731719283,20735.2864531783,22204.86604302205,23075.603250053304,23584.1770781783,23710.76252739705
2027-05-16,18548.92033434612,16432.764494502368,16584.544133174244,17120.693644892996,18048.550969111744,19263.513371455494,19814.435051142995,20026.730363642993,20200.85345934612
2027-05-23,13521.971357480215,12001.651357480214,12142.090517636465,12477.775478573965,13190.00199224584,14073.10111333959,14383.957021542714,14543.054091855214,14630.888857480213
2027-05-30,9228.381014829403,8297.023973813779,8372.109203305967,8576.361644712217,8863.660912290341,9599.016869321591,9837.859593930965,9918.051488462215,9936.28698650909
2027-06-06,6666.872435586829,6024.326402871985,6136.028172891516,6214.535570352454,6390.133959024329,6911.206102579016,7148.585082071204,7301.050731485267,7324.014610879797
2027-06-13,5378.692182713821,4860.558093358352,4924.825610448196,5014.732617284134,5147.977539159134,5580.392456151321,5724.681494237258,5829.514428807571,5893.3299073231965
2027-06-20,4237.050116159974,3825.369320261537,3899.260006296693,3940.9378139138807,4059.7377406716932,4385.834908640443,4537.228927195131,4643.92619282013,4664.532076609194
2027-06-27,3180.7073614123524,2815.26364559204,2838.9026226428214,2948.2160137561027,3069.451780357665,3297.421690025634,3452.374436607665,3509.413560142821,3511.4473736193836
2027-07-04,2201.4156556298967,1917.5676838281388,1939.939732778334,1964.182671010756,2101.509135854506,2302.1699634912247,2375.775590932631,2464.7763477685685,2504.6398365380996
2027-07-11,1552.9679983237174,1268.5655886557486,1328.067145052233,1371.6251833823112,1466.808941927233,1658.4015627768424,1722.3432497885613,1750.0981203940298,1791.3721804526233
2027-07-18,1177.1449059755269,942.7422698671284,972.0975188905659,1027.2105559999409,1099.5820586854877,1252.824093597597,1337.1482268983784,1377.754678314394,1408.343853729433
2027-07-25,644.6274563467755,389.1685397207989,423.1907763540997,489.2952197134747,544.5135485708965,733.4404437124981,819.2513598501936,882.8369402945292,962.9326952994119
2027-08-01,583.5772392278745,343.3806217962339,409.5594960027769,442.73351181088236,502.76049240170266,660.5131321722105,737.8086247259215,758.2483738714292,811.7453541570737
2027-08-08,493.18604961428264,291.90338802370644,321.6109533313236,358.17106838259315,418.4996206286869,569.9441091540775,621.9806509021245,655.9504598620853,708.2953039172608
2027-08-15,467.0161931017085,287.7087941148921,307.6141728380366,337.3520329454585,402.42401170522413,531.8986973741694,594.5394566515131,630.6170048692866,651.3471486070795
2027-08-22,441.6494395148054,229.66487446658763,250.92547779910717,271.00578938357984,354.5224092566267,518.4537294470564,592.9786958777205,620.1856386267439,724.153605850865
2027-08-29,344.938987148621,113.88567019305461,139.96450510821575,183.65407343707315,271.9166756709599,420.00905237994425,496.80401087603803,519.5061226924443,581.1251275142212
2027-09-05,488.1343489041259,274.0129714932372,288.2028282132079,319.5683830227782,414.35933150910637,580.4122032132079,636.6594779934813,683.1147911038329,734.7982261624265
2027-09-12,407.0729203887556,176.9357569213484,219.72523407894118,254.9196447845076,330.81062531429274,478.97300171810133,548.3582006927107,570.3955420013045,639.6751074309914
2027-09-19,564.4139687123482,325.1480126729195,359.8801431050484,386.75609220172805,482.2784325947945,650.2849404683296,715.2749764790718,748.791132484931,805.3539269795599
2027-09-26,607.4119444780985,331.9147602587381,380.9506626635233,426.0982517748514,534.8954777269998,697.3443607836405,751.4481266527812,797.4027622728981,864.0222126513161
2027-10-03,644.8042747047227,353.0807732703966,408.2705567481798,465.6093690040392,567.5558930518907,739.5441437843126,804.0063569190783,843.0280915382187,910.5566453101915
